Date,Close
,TSLA
2012-08-01,1.75
2015-08-06,16.408666610717773
2015-08-19,17.016666412353516
2015-10-21,14.005999565124512
2015-12-02,15.465999603271484
2016-02-16,10.344667434692383
2016-04-18,16.92533302307129
2016-05-11,13.93066692352295
2016-05-19,14.347332954406738
2016-07-27,15.232666969299316
2016-10-26,13.482666969299316
2016-11-29,12.637999534606934
2017-01-20,16.315332412719727
2017-01-30,16.708667755126953
2017-03-02,16.698667526245117
2017-05-25,21.121999740600586
2017-06-05,23.154666900634766
2017-06-06,23.523332595825195
2017-06-07,23.976667404174805
2017-06-13,25.06333351135254
2017-06-15,25.022666931152344
2017-06-16,24.760000228881836
2017-06-20,24.81599998474121
2017-07-07,20.881332397460938
2017-07-10,21.06999969482422
2017-07-17,21.30466651916504
2017-07-26,22.92333221435547
2017-08-03,23.139333724975586
2017-08-14,24.253332138061523
2017-09-28,22.639999389648438
2017-12-14,22.525999069213867
2017-12-19,22.073333740234375
2017-12-21,22.110666275024414
2018-05-03,18.963333129882812
2018-05-22,18.333999633789062
2018-05-23,18.60466766357422
2018-05-24,18.523332595825195
2018-05-29,18.917333602905273
2018-05-30,19.447999954223633
2018-05-31,18.98200035095215
2018-06-01,19.454666137695312
2018-06-15,23.878000259399414
2018-06-21,23.167333602905273
2018-07-11,21.263999938964844
2018-07-12,21.11400032043457
2018-07-19,21.34866714477539
2018-07-23,20.213333129882812
2018-07-30,19.344667434692383
2018-07-31,19.875999450683594
2018-08-06,22.799333572387695
2018-08-07,25.30466651916504
2018-09-28,17.65133285522461
2018-10-03,19.65333366394043
2018-10-04,18.788667678833008
2018-10-05,17.463333129882812
2018-10-08,16.70400047302246
2018-10-12,17.25200080871582
2018-10-15,17.305999755859375
2018-10-31,22.488000869750977
2018-11-26,23.066667556762695
2018-11-27,22.92799949645996
2018-12-07,23.864667892456055
2018-12-11,24.450666427612305
2018-12-18,22.468666076660156
2018-12-26,21.73933219909668
2019-01-03,20.02400016784668
2019-01-08,22.356666564941406
2019-01-22,19.92799949645996
2019-02-11,20.856000900268555
2019-03-07,18.439332962036133
2019-03-15,18.36199951171875
2019-03-26,17.851333618164062
2019-04-01,19.278667449951172
2019-04-03,19.45400047302246
2019-04-04,17.851999282836914
2019-04-10,18.40399932861328
2019-04-22,17.516666412353516
2019-04-24,17.243999481201172
2019-05-07,16.470666885375977
2019-05-10,15.968000411987305
2019-05-16,15.222000122070312
2019-05-23,13.03266716003418
2019-05-24,12.708666801452637
2019-06-12,13.950667381286621
2019-07-02,14.970000267028809
2019-07-11,15.90666675567627
2019-07-18,16.902666091918945
2019-08-08,15.886667251586914
2019-08-09,15.667332649230957
2019-08-28,14.37266731262207
2019-08-30,15.040666580200195
2019-09-09,15.452667236328125
2019-09-19,16.440000534057617
2019-09-27,16.142000198364258
2019-10-16,17.316667556762695
2019-11-08,22.47599983215332
2019-11-15,23.47800064086914
2019-11-22,22.202667236328125
2019-11-25,22.422666549682617
2019-11-26,21.92799949645996
2020-02-07,49.871334075927734
2020-03-05,48.30266571044922
2020-04-06,34.41600036621094
2020-04-09,38.20000076293945
2020-04-14,47.32600021362305
2020-06-30,71.98733520507812
