Class,Precision,Recall,F1-Score,Support
Bearish,0.7965116279069767,0.7896253602305475,0.7930535455861071,347.0
Bullish,0.8641188959660298,0.8568421052631578,0.8604651162790697,475.0
Neutral,0.9268912905276542,0.9310344827586207,0.9289582669640013,1566.0
macro avg,0.862507271466887,0.8591673160841086,0.8608256429430594,2388.0
weighted avg,0.8954597032805242,0.8957286432160804,0.895585911480973,2388.0
